#	X	rho	      u	              P	        rho_initial
  -1.09562    0.66235574    0.46788742    0.56173166    1.00000000  
  -1.05578    0.65135618    0.48610405    0.54871534    1.00000000  
  -1.01594    0.64050683    0.50431458    0.53596264    1.00000000  
  -0.97610    0.62980833    0.52251519    0.52347157    1.00000000  
  -0.93625    0.61926132    0.54070180    0.51124018    1.00000000  
  -0.89641    0.60886657    0.55886995    0.49926664    1.00000000  
  -0.85657    0.59862500    0.57701467    0.48754924    1.00000000  
  -0.81673    0.58853775    0.59513036    0.47608654    1.00000000  
  -0.77689    0.57860631    0.61321055    0.46487740    1.00000000  
  -0.73705    0.56883256    0.63124766    0.45392113    1.00000000  
  -0.69721    0.55921901    0.64923263    0.44321767    1.00000000  
  -0.65737    0.54976897    0.66715438    0.43276776    1.00000000  
  -0.61753    0.54048689    0.68499913    0.42257329    1.00000000  
  -0.57769    0.53137878    0.70274930    0.41263776    1.00000000  
  -0.53785    0.52245293    0.72038199    0.40296692    1.00000000  
  -0.49801    0.51372089    0.73786655    0.39356982    1.00000000  
  -0.45817    0.50519919    0.75516066    0.38446048    1.00000000  
  -0.41833    0.49691215    0.77220380    0.37566076    1.00000000  
  -0.37849    0.48889679    0.78890587    0.36720520    1.00000000  
  -0.33865    0.48121112    0.80512787    0.35914938    1.00000000  
  -0.29880    0.47394666    0.82065230    0.35158230    1.00000000  
  -0.25896    0.46724337    0.83514692    0.34464094    1.00000000  
  -0.21912    0.46129859    0.84814075    0.33851847    1.00000000  
  -0.17928    0.45635195    0.85905521    0.33344804    1.00000000  
  -0.13944    0.45261895    0.86735497    0.32963608    1.00000000  
  -0.09960    0.45015697    0.87285874    0.32712898    1.00000000  
  -0.05976    0.44875636    0.87599972    0.32570554    1.00000000  
  -0.01992    0.44806527    0.87755133    0.32500434    1.00000000  
   0.01992    0.44779481    0.87815790    0.32473060    0.12500000  
   0.05976    0.44775073    0.87825515    0.32468677    0.12500000  
   0.09960    0.44779834    0.87814590    0.32473612    0.12500000  
   0.13944    0.44785215    0.87802255    0.32479184    0.12500000  
   0.17928    0.44787723    0.87796358    0.32481851    0.12500000  
   0.21912    0.44787837    0.87795828    0.32482097    0.12500000  
   0.25896    0.44787485    0.87796329    0.32481878    0.12500000  
   0.29880    0.44787885    0.87795115    0.32482434    0.12500000  
   0.33865    0.44788968    0.87792315    0.32483706    0.12500000  
   0.37849    0.44790056    0.87789413    0.32485024    0.12500000  
   0.41833    0.44790708    0.87787419    0.32485933    0.12500000  
   0.45817    0.44790985    0.87786322    0.32486438    0.12500000  
   0.49801    0.44791174    0.87785617    0.32486767    0.12500000  
   0.53785    0.44791389    0.87784940    0.32487083    0.12500000  
   0.57769    0.44791417    0.87784241    0.32487410    0.12500000  
   0.61753    0.44790960    0.87783616    0.32487704    0.12500000  
   0.65737    0.44790091    0.87783132    0.32487936    0.12500000  
   0.69721    0.44789488    0.87782793    0.32488102    0.12500000  
   0.73705    0.44789985    0.87782580    0.32488213    0.12500000  
   0.77689    0.44791529    0.87782478    0.32488274    0.12500000  
   0.81673    0.44792542    0.87782463    0.32488297    0.12500000  
   0.85657    0.44790772    0.87782486    0.32488304    0.12500000  
   0.89641    0.44785508    0.87782488    0.32488321    0.12500000  
   0.93625    0.44779190    0.87782415    0.32488373    0.12500000  
   0.97610    0.44776154    0.87782242    0.32488471    0.12500000  
   1.01594    0.44778693    0.87781979    0.32488612    0.12500000  
   1.05578    0.44783517    0.87781666    0.32488775    0.12500000  
   1.09562    0.44782678    0.87781364    0.32488935    0.12500000  
   1.13546    0.44768508    0.87781130    0.32489066    0.12500000  
   1.17530    0.44738840    0.87781003    0.32489149    0.12500000  
